pin,bank,site,tile,pin_function
Y18,13,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_13
Y19,14,IOB_X0Y57,LIOB33_X0Y57,IO_L21N_T3_DQS_D22_14
Y20,14,IOB_X0Y62,LIOB33_X0Y61,IO_L19P_T3_D26_14
Y21,14,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_D15_14
Y22,14,IOB_X0Y60,LIOB33_X0Y59,IO_L20P_T3_D24_14
Y3,34,IOB_X1Y79,RIOB33_X53Y79,IO_L10N_T1_34
Y4,34,IOB_X1Y70,RIOB33_X53Y69,IO_L15P_T2_DQS_34
Y5,34,IOB_X1Y71,RIOB33_X53Y71,IO_L14N_T2_SRCC_34
Y6,34,IOB_X1Y72,RIOB33_X53Y71,IO_L14P_T2_SRCC_34
Y7,34,IOB_X1Y57,RIOB33_X53Y57,IO_L21N_T3_DQS_34
Y8,34,IOB_X1Y60,RIOB33_X53Y59,IO_L20P_T3_34
