pin,bank,site,tile,pin_function
V26,14,IOB_X0Y188,LIOB33_X0Y187,IO_L6P_T0_FCS_B_14
V27,14,IOB_X0Y187,LIOB33_X0Y187,IO_L6N_T0_D08_VREF_14
R24,14,IOB_X0Y186,LIOB33_X0Y185,IO_L7P_T1_D09_14
R25,14,IOB_X0Y185,LIOB33_X0Y185,IO_L7N_T1_D10_14
R23,14,IOB_X0Y184,LIOB33_X0Y183,IO_L8P_T1_D11_14
T23,14,IOB_X0Y183,LIOB33_X0Y183,IO_L8N_T1_D12_14
V24,14,IOB_X0Y182,LIOB33_X0Y181,IO_L9P_T1_DQS_14
V25,14,IOB_X0Y181,LIOB33_X0Y181,IO_L9N_T1_DQS_D13_14
R26,14,IOB_X0Y180,LIOB33_X0Y179,IO_L10P_T1_D14_14
T27,14,IOB_X0Y179,LIOB33_X0Y179,IO_L10N_T1_D15_14
T25,14,IOB_X0Y178,LIOB33_X0Y177,IO_L11P_T1_SRCC_14
T26,14,IOB_X0Y177,LIOB33_X0Y177,IO_L11N_T1_SRCC_14
U24,14,IOB_X0Y176,LIOB33_X0Y175,IO_L12P_T1_MRCC_14
U25,14,IOB_X0Y175,LIOB33_X0Y175,IO_L12N_T1_MRCC_14
V21,14,IOB_X0Y174,LIOB33_X0Y173,IO_L13P_T2_MRCC_14
V22,14,IOB_X0Y173,LIOB33_X0Y173,IO_L13N_T2_MRCC_14
U22,14,IOB_X0Y172,LIOB33_X0Y171,IO_L14P_T2_SRCC_14
U23,14,IOB_X0Y171,LIOB33_X0Y171,IO_L14N_T2_SRCC_14
R20,14,IOB_X0Y170,LIOB33_X0Y169,IO_L15P_T2_DQS_RDWR_B_14
R21,14,IOB_X0Y169,LIOB33_X0Y169,IO_L15N_T2_DQS_DOUT_CSO_B_14
T20,14,IOB_X0Y168,LIOB33_X0Y167,IO_L16P_T2_CSI_B_14
T21,14,IOB_X0Y167,LIOB33_X0Y167,IO_L16N_T2_A15_D31_14
U20,14,IOB_X0Y166,LIOB33_X0Y165,IO_L17P_T2_A14_D30_14
V20,14,IOB_X0Y165,LIOB33_X0Y165,IO_L17N_T2_A13_D29_14
W22,14,IOB_X0Y164,LIOB33_X0Y163,IO_L18P_T2_A12_D28_14
W23,14,IOB_X0Y163,LIOB33_X0Y163,IO_L18N_T2_A11_D27_14
R18,14,IOB_X0Y162,LIOB33_X0Y161,IO_L19P_T3_A10_D26_14
R19,14,IOB_X0Y161,LIOB33_X0Y161,IO_L19N_T3_A09_D25_VREF_14
U19,14,IOB_X0Y160,LIOB33_X0Y159,IO_L20P_T3_A08_D24_14
V19,14,IOB_X0Y159,LIOB33_X0Y159,IO_L20N_T3_A07_D23_14
T17,14,IOB_X0Y158,LIOB33_X0Y157,IO_L21P_T3_DQS_14
T18,14,IOB_X0Y157,LIOB33_X0Y157,IO_L21N_T3_DQS_A06_D22_14
